locality,tectonic_setting,lat_min,lat_max,lon_min,lon_max,expected_P_regime,expected_T_C_low,expected_T_C_high,expected_P_kbar_low,expected_P_kbar_high,primary_minerals,notes
Mount St. Helens,CONVERGENT MARGIN,46.15,46.25,-122.25,-122.10,deep_crustal_MASH,900,1050,4,9,opx+cpx,"Cascadia arc; Pallister et al. 1992; Blundy & Cashman 2001"
Kamchatka,CONVERGENT MARGIN,50.0,57.0,155.0,164.0,deep_crustal_MASH,950,1100,3,10,opx+cpx,"Kuril-Kamchatka arc; broad region spanning Klyuchevskoy, Shiveluch, Bezymianny"
Central Andes,CONVERGENT MARGIN,-28.0,-16.0,-72.0,-66.0,lithospheric_mantle,900,1200,5,20,opx+cpx,"Altiplano-Puna; thick crust; xenoliths in some lavas; Davidson et al. 2007"
Lesser Antilles,CONVERGENT MARGIN,12.0,18.0,-62.5,-59.0,deep_crustal_MASH,950,1100,3,9,opx+cpx,"Caribbean arc; Soufriere Hills, Martinique; Humphreys et al. 2009"
Aegean,CONVERGENT MARGIN,36.0,40.0,23.0,27.5,deep_crustal_MASH,850,1050,2,8,opx+cpx,"Hellenic arc; Santorini, Nisyros"
Aleutians,CONVERGENT MARGIN,50.0,55.0,-178.0,-158.0,deep_crustal_MASH,950,1100,3,10,opx+cpx,"Alaska-Aleutian arc"
Kilbourne Hole,INTRAPLATE VOLCANICS,31.9,32.0,-106.9,-106.8,lithospheric_mantle,900,1200,8,25,opx+cpx (xenoliths),"Rio Grande rift mantle xenoliths; Perkins & Anthony 2011"
Spitsbergen,INTRAPLATE VOLCANICS,77.0,80.0,10.0,20.0,lithospheric_mantle,900,1150,10,25,opx+cpx (xenoliths),"N Atlantic mantle xenoliths; Ionov et al. 2002; low n expected"
Siberian craton,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),60.0,72.0,110.0,130.0,deeper_mantle,900,1400,20,60,opx+cpx (xenoliths),"Udachnaya, Obnazhennaya kimberlites; Ionov et al."
Kaapvaal craton,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),-30.0,-24.0,22.0,30.0,deeper_mantle,900,1450,20,70,opx+cpx (xenoliths),"Kimberley, Premier, Bultfontein; Boyd et al. 1985; Simon et al. 2007"
Kerguelen Plateau,OCEANIC PLATEAU,-53.0,-48.0,68.0,71.0,lithospheric_mantle,1100,1300,10,25,opx+cpx,"S Indian Ocean plume; Weis et al. 2001"
Kilauea,OCEAN ISLAND,19.3,19.5,-155.3,-155.1,shallow_crustal,1100,1250,0.5,5,opx+cpx,"Hawaii; shallow crystallization; summit magma system"
Iceland,RIFT VOLCANICS,63.0,67.0,-25.0,-13.0,shallow_crustal,1100,1250,1,6,opx+cpx,"Krafla, Hekla, Laki; Maclennan et al. 2003"
Reunion,OCEAN ISLAND,-21.5,-20.8,55.2,55.9,shallow_crustal,1100,1250,1,8,opx+cpx,"Piton de la Fournaise; Bureau et al. 1998"
Erta Ale,RIFT VOLCANICS,13.5,13.7,40.6,40.8,shallow_crustal,1100,1200,0.5,4,opx+cpx,"Afar rift lava lake; low n expected"
