Experiment,Index,Number of analyses,SiO2 value,SiO2 error,TiO2 value,TiO2 error,Al2O3 value,Al2O3 error,Fe2O3 value,Fe2O3 error,Cr2O3 value,Cr2O3 error,FeO value,FeO error,MnO value,MnO error,MgO value,MgO error,NiO value,NiO error,CoO value,CoO error,CaO value,CaO error,Na2O value,Na2O error,K2O value,K2O error,P2O5 value,P2O5 error,H2O value,H2O error,CO2 value,CO2 error,CO2 method,CO2 units,CO2 standard,SrO value,SrO error,BaO value,BaO error,Li2O value,Li2O error,Li2O method,Li2O units,Li2O standard,ZrO2 value,ZrO2 error,Rb2O value,Rb2O error,Rb2O method,Rb2O units,Rb2O standard,F value,F error,S value,S error,Cl value,Cl error,LOI value,LOI error,LOI method,LOI units,LOI standard,H2OP value,H2OP error,H2OP method,H2OP units,H2OP standard,H2OM value,H2OM error,H2OM method,H2OM units,H2OM standard,P value,P error,SO3 value,SO3 error,SO3 method,SO3 units,SO3 standard,REE_oxide value,REE_oxide error,total value,total error,total method,total units,total standard,V2O3 value,V2O3 error,F2O value,F2O error,F2O method,F2O units,F2O standard,C value,C error,volatiles value,volatiles error,volatiles method,volatiles units,volatiles standard,T_C,P_GPa,P_kbar,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,FeO_total,Fe3_FeT,FeO_calc,Fe2O3_calc,oxide_total,SiO2_cat,TiO2_cat,Al2O3_cat,Cr2O3_cat,FeO_cat,MnO_cat,MgO_cat,CaO_cat,Na2O_cat,K2O_cat,cation_sum,En_frac,Fs_frac,Wo_frac,Wo,liq_SiO2,liq_TiO2,liq_Al2O3,liq_FeO,liq_MgO,liq_CaO,liq_Na2O,liq_K2O,H2O_Liq,FeMg_opx,FeMg_liq,KD_FeMg,Citation,Label,Spatial,SiO2 method,SiO2 units,SiO2 standard,TiO2 method,TiO2 units,TiO2 standard,Al2O3 method,Al2O3 units,Al2O3 standard,Fe2O3 method,Fe2O3 units,Fe2O3 standard,Cr2O3 method,Cr2O3 units,Cr2O3 standard,FeO method,FeO units,FeO standard,MnO method,MnO units,MnO standard,MgO method,MgO units,MgO standard,NiO method,NiO units,NiO standard,CoO method,CoO units,CoO standard,CaO method,CaO units,CaO standard,Na2O method,Na2O units,Na2O standard,K2O method,K2O units,K2O standard,P2O5 method,P2O5 units,P2O5 standard,H2O method,H2O units,H2O standard,SrO method,SrO units,SrO standard,BaO method,BaO units,BaO standard,ZrO2 method,ZrO2 units,ZrO2 standard,F method,F units,F standard,S method,S units,S standard,Cl method,Cl units,Cl standard,P method,P units,P standard,REE_oxide method,REE_oxide units,REE_oxide standard,V2O3 method,V2O3 units,V2O3 standard,C method,C units,C standard,DOI,H2O_Liq_Method,is_vbd,opx_liq_pair,Mg_num,Al_IV,Al_VI,MgTs,liq_Mg_num
#71,30548.0,,54.209999084473,0.68999999761581,0.14000000059605,0.03999999910593,3.4700000286102,0.75999999046326,,,0.11999999731779,0.37000000476837,10.89999961853,0.18999999761581,0.25,0.059999998658895,29.180000305176,0.37000000476837,,,,,1.7400000095367,0.070000000298023,0.070000000298023,0.019999999552965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,0.50199997425079,5.0199997425079,54.209999084473,0.14000000059605,3.4700000286102,0.11999999731779,0.0,10.89999961853,0.25,29.180000305176,1.7400000095367,0.070000000298023,0.0,10.89999961853,0.15,9.2649996757505,1.8170838265022713,100.07999904453776,1.9170399393796116,0.0037245748142319107,0.14462254051613707,0.0033551104023543834,0.32236403047449963,0.007488206105593206,1.5383237334994484,0.0659287857907875,0.004799478728495738,0.0,4.0076463997111595,79.84586936551008,16.732132323573385,3.4219983109165253,3.4219983109165253,52.659999847412,0.80000001192093,17.760000228882,8.2200002670288,5.2199997901917,8.039999961853,4.289999961853,0.10999999940395,3.5999999046326,0.20955539036063062,0.8834032487542691,0.2372137420324581,"Feig, S.T., Koepke, J., Snow, J.E. (2006) Effect of water on tholeiitic basalt phase equilibria: an experimental study under oxidizing conditions. Contributions to Mineralogy and Petrology 152 611-638",Orthopyroxene 1,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,,,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1007/s00410-006-0123-2,EMP,False,True,82.6750066982752,0.08296006062038841,0.06166247989574866,0.06166247989574866,53.09537406083511
#72,30549.0,,53.529998779297,0.43999999761581,0.20000000298023,0.019999999552965,4.1999998092651,0.41999998688698,,,0.11999999731779,0.029999999329448,12.159999847412,0.28000000119209,0.30000001192093,0.03999999910593,28.420000076294,0.18000000715256,,,,,1.7699999809265,0.079999998211861,0.070000000298023,0.019999999552965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,0.50199997425079,5.0199997425079,53.529998779297,0.20000000298023,4.1999998092651,0.11999999731779,0.0,12.159999847412,0.30000001192093,28.420000076294,1.7699999809265,0.070000000298023,0.0,12.159999847412,0.15,10.3359998703002,2.0271320941552764,100.76999850571158,1.8928136639227686,0.005320317307282265,0.17503086798163947,0.0033547926539971118,0.35959407861903486,0.008984996672037723,1.4981158227860494,0.06705913641426776,0.004799024190105386,0.0,4.015072700547183,77.83353708158796,18.68245340367868,3.484009514733349,3.484009514733349,52.619998931885,0.94999998807907,17.709999084473,8.6599998474121,5.1399998664856,7.7399997711182,4.5599999427795,0.15000000596046,2.7999999523163,0.2400308929053943,0.9451754279657836,0.2539538013826611,"Feig, S.T., Koepke, J., Snow, J.E. (2006) Effect of water on tholeiitic basalt phase equilibria: an experimental study under oxidizing conditions. Contributions to Mineralogy and Petrology 152 611-638",Orthopyroxene 1,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,,,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1007/s00410-006-0123-2,EMP,False,True,80.64315217639445,0.10718633607723138,0.06784453190440809,0.06784453190440809,51.40924492583043
#76,30553.0,,53.700000762939,,0.10999999940395,,4.4400000572205,,,,0.15000000596046,,9.8999996185303,,0.14000000059605,,29.89999961853,,,,,,1.8400000333786,,0.059999998658895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130.0,0.50169998407364,5.0169998407364,53.700000762939,0.10999999940395,4.4400000572205,0.15000000596046,0.0,9.8999996185303,0.14000000059605,29.89999961853,1.8400000333786,0.059999998658895,0.0,9.8999996185303,0.15,8.414999675750755,1.6503788824568897,100.24000009521775,1.8886903278861402,0.0029105566110222015,0.18404506934782014,0.00417110919006139,0.29119906455463523,0.00417061904049592,1.5677194066987703,0.06933912564721881,0.0040914945154687955,0.0,4.016336773491633,81.30238455788462,15.101668211897241,3.595947230218137,3.595947230218137,52.099998474121,0.69999998807907,17.479999542236,8.1599998474121,6.2699999809265,8.8199996948242,4.0100002288818,0.079999998211861,2.7000000476837,0.1857469285066953,0.7300964841920933,0.25441422130971947,"Feig, S.T., Koepke, J., Snow, J.E. (2006) Effect of water on tholeiitic basalt phase equilibria: an experimental study under oxidizing conditions. Contributions to Mineralogy and Petrology 152 611-638",Orthopyroxene 1,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,,,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1007/s00410-006-0123-2,EMP,False,True,84.33502764872257,0.11130967211385978,0.07273539723396036,0.07273539723396036,57.800244618552135
#77,30554.0,,52.790000915527,0.38999998569488,0.23999999463558,0.029999999329448,4.289999961853,0.37000000476837,,,0.12999999523163,0.050000000745058,12.039999961853,0.31000000238419,0.25999999046326,0.050000000745058,27.840000152588,0.27000001072884,,,,,1.9199999570847,0.15999999642372,0.079999998211861,0.019999999552965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130.0,0.50169998407364,5.0169998407364,52.790000915527,0.23999999463558,4.289999961853,0.12999999523163,0.0,12.039999961853,0.25999999046326,27.840000152588,1.9199999570847,0.079999998211861,0.0,12.039999961853,0.15,10.23399996757505,2.0071275199477054,99.59000092744803,1.8897826677986245,0.006463508549857523,0.18099735451082583,0.003679402901400119,0.36045828393799156,0.007883508563708702,1.4857307520946355,0.07364367906170974,0.00555257505330222,0.0,4.014191732472056,77.38855268031152,18.77550481893311,3.8359425007553867,3.8359425007553867,,,,,,,,,,,,,"Feig, S.T., Koepke, J., Snow, J.E. (2006) Effect of water on tholeiitic basalt phase equilibria: an experimental study under oxidizing conditions. Contributions to Mineralogy and Petrology 152 611-638",Orthopyroxene 1,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,,,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1007/s00410-006-0123-2,,False,False,80.47554844586233,0.11021733220137553,0.0707800223094503,0.0707800223094503,
1,31374.666666666668,,54.68666615804033,0.41999998688698,0.13999999786416834,0.0099999997764826,3.2333333619435667,0.28000000119209,,,0.6999999974171299,0.050000000745058,9.156666800181068,0.20000000298023,0.14000000432134,0.019999999552965,30.446666437785,0.34000000357628,,,,,1.5800000047683667,0.17000000178814,0.0950000006705525,0.0099999997764826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1173.871794871795,1.072615384869396,10.72615384869396,54.68666615804033,0.13999999786416834,3.2333333619435667,0.6999999974171299,0.0,9.156666800181068,0.09333333621422667,30.446666437785,1.5800000047683667,0.06333333378036833,0.0,9.156666800181068,0.15,7.783166780153906,1.5264616265668476,100.09999942799422,1.918593293839868,0.0036532435270501375,0.1337538440940897,0.019532876582769088,0.27003493125092726,0.002734045414150916,1.5917659211046462,0.0589227825560621,0.004238327850178017,0.0,4.003229266219742,82.87377458860044,14.053329174310193,3.0728962370893753,3.0728962370893753,50.099998474121,6.5999999046326,10.89999961853,17.10000038147,3.9000000953674,10.0,0.5,1.0,,0.17217317951578895,2.4597396871343564,0.06999650427089461,"Takahashi, E. (1980) Melting relations of an alkali-olivine basalt to 30 kbar, and their bearing on the origin of alkali basalt magmas. Carnegie Institution of Washington Year Book 79 271-276",Orthopyroxene 1,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,,,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/s0012-821x(98)00106-x,,False,False,85.49603568452149,0.08140670616013201,0.05234713793395768,0.05234713793395768,28.903908687658607
10,19051.5,,55.5425,0.27666666915019333,0.2233333355188367,0.034999999552965004,2.3274999922514,0.37999999682108665,,,0.3924999933689825,0.019999999627470864,9.52749995231625,0.1666666711370167,0.22000000536442,0.18666666691501932,30.399999809265246,0.32666667262713006,0.12500000074505999,0.02,,,1.692500007152575,0.090000000745058,0.05999999977648251,0.014999999776482502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1171.142857142857,1.249628569309279,12.496285693092789,55.5425,0.1675000016391275,2.3274999922514,0.3924999933689825,0.0,9.52749995231625,0.165000004023315,30.399999809265246,1.692500007152575,0.029999999888241254,0.0,9.52749995231625,0.15,8.098374959468812,1.5882813464437342,100.24499975990514,1.9467991452760678,0.004395018123064521,0.09578814519810733,0.010921816502253691,0.28112742297607324,0.004958026728117316,1.5867519826078493,0.06369925931731765,0.0020200780436742207,0.0,3.9964608947725244,82.1852886585432,14.514644561090327,3.300066780366476,3.300066780366476,73.639999389648,,9.6599998474121,4.0100002288818,5.0700001716614,,,7.6199998855591,,0.1817697800371992,0.4437047411422749,0.40966382186778194,"Elkins-Tanton, L.T., Chatterjee, N., Grove, T.L. (2003) Experimental and petrological constraints on lunar differentiation from the Apollo 15 green picritic glasses. Meteoritics & Planetary Science 38 515-527",Orthopyroxene 1,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EDS,wt%,Not Specified,,,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/0016-7037(94)90116-3,,False,True,84.9493804505977,0.05320085472393221,0.042587290474175116,0.042587290474175116,69.2662406309471
10 dry,1484.0,,51.330001831055,0.12999999523163,0.25,0.001300000003539,8.0,0.10999999940395,,,0.10000000149012,0.090000003576279,8.2700004577637,0.15999999642372,0.18000000715256,0.0099999997764826,28.829999923706,0.70999997854233,,,,,2.3499999046326,0.18000000715256,0.059999998658895,0.0099999997764826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220.0,1.0,10.0,51.330001831055,0.25,8.0,0.10000000149012,0.0,8.2700004577637,0.18000000715256,28.829999923706,2.3499999046326,0.059999998658895,0.0,8.2700004577637,0.15,7.029500389099145,1.378649963567193,99.37000212445886,1.812485953340358,0.006641104010413832,0.3329262995196743,0.0027917543038320095,0.24421775610738106,0.005383465222094787,1.5176048236718078,0.08890890880198324,0.004107701519859656,0.0,4.015067766497404,82.00027032745038,13.195742203241267,4.803987469308341,4.803987469308341,48.759998321533,1.3200000524521,18.049999237061,8.0200004577637,9.4499998092651,10.569999694824,2.9700000286102,0.64999997615814,,0.16092315489384262,0.4761022559075126,0.33800124426443273,"Pichavant, M., Mysen, B.O., MacDonald, R. (2002) Source and H2O content of high-MgO magmas in island arc settings: an experimental study of a primitive calc-alkaline basalt from St. Vincent, Lesser Antilles arc. Geochimica et Cosmochimica Acta 66 2193-2209",Orthopyroxene 1,,multiple,wt%,Not Specified,multiple,wt%,Not Specified,multiple,wt%,Not Specified,,,,multiple,wt%,Not Specified,multiple,wt%,Not Specified,multiple,wt%,Not Specified,multiple,wt%,Not Specified,,,,,,,multiple,wt%,Not Specified,multiple,wt%,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/S0016-7037(01)00891-2,,False,True,86.13834565918725,0.1875140466596421,0.14541225286003218,0.14541225286003218,67.74598412798962
1050-5,5062.0,,52.680000305176,,0.62999999523163,,3.5099999904633,,,,0.18999999761581,,10.439999580383,,0.27000001072884,,30.39999961853,,0.11999999731779,,,,1.7200000286102,,0.03999999910593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1052.0,0.49849998950958,4.9849998950958,52.680000305176,0.62999999523163,3.5099999904633,0.18999999761581,0.0,10.439999580383,0.27000001072884,30.39999961853,1.7200000286102,0.03999999910593,0.0,10.439999580383,0.15,8.87399964332555,1.7403995458820793,99.87999952584471,1.8714111454374471,0.016836851933143077,0.1469553173626566,0.005336430484907217,0.31016462021728064,0.00812406227721245,1.6099326506571234,0.06546753102082688,0.002755038630061223,0.0,4.036983648020659,81.08184880797822,15.620976959363254,3.297174232658527,3.297174232658527,47.700000762939,2.2999999523163,18.200000762939,9.0,7.4000000953674,5.5,3.0,0.69999998807907,4.5999999046326,0.1926568916349894,0.6822890950762026,0.2823684168856197,"Kelemen, P.B., Joyce, D.B., Webster, J.D., Holloway, J.R. (1990) Reaction between ultramafic rock and fractionating basaltic magma II. Experimental investigation of reaction between olivine tholeiite and hartzburgite at 1150-1050_C and 5kb. Journal of Petrology 31 99-134",Orthopyroxene 1,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/petrology/31.1.99,EMP,False,True,83.84641106874585,0.12858885456255287,0.018366462800103733,0.018366462800103733,59.4428153238848
1050-6,5063.0,,53.424999237061,,0.5799999833107,,3.4349999427795,,,,0.18999999761581,,12.529999732971,,0.23000000417232,,28.340000152588,,0.12999999523163,,,,1.5099999904633,,0.014999999664724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1052.0,0.49849998950958,4.9849998950958,53.424999237061,0.5799999833107,3.4349999427795,0.18999999761581,0.0,12.529999732971,0.23000000417232,28.340000152588,1.5099999904633,0.014999999664724,0.0,12.529999732971,0.15,10.650499773025349,2.0888129043742056,100.25499904062636,1.9015247026902005,0.015530388922426053,0.144091687686857,0.005346688229100904,0.3729725261588253,0.006933800000535593,1.5037234852151038,0.05758487882728157,0.0010351253981285798,0.0,4.008743283128459,77.7406990283961,19.282231864474838,2.9770691071290787,2.9770691071290787,48.400001525879,2.0999999046326,17.10000038147,8.0,6.4000000953674,7.5,2.9000000953674,0.69999998807907,4.3000001907349,0.2480326534937855,0.7012415685273615,0.3537050064140737,"Kelemen, P.B., Joyce, D.B., Webster, J.D., Holloway, J.R. (1990) Reaction between ultramafic rock and fractionating basaltic magma II. Experimental investigation of reaction between olivine tholeiite and hartzburgite at 1150-1050_C and 5kb. Journal of Petrology 31 99-134",Orthopyroxene 1,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/petrology/31.1.99,EMP,False,False,80.12610865593666,0.09847529730979954,0.045616390377057475,0.045616390377057475,58.78059991595583
1075-1,5067.0,,54.729999542236,,0.15000000596046,,4.7199997901917,,,,0.31000000238419,,6.5900001525879,,0.15999999642372,,31.739999771118,,0.12999999523163,,,,0.80000001192093,,0.10000000149012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075.0,0.4835000038147,4.835000038147,54.729999542236,0.15000000596046,4.7199997901917,0.31000000238419,0.0,6.5900001525879,0.15999999642372,31.739999771118,0.80000001192093,0.10000000149012,0.0,6.5900001525879,0.15,5.601500129699716,1.098585606696553,99.29999927431302,1.9056896823104117,0.003929297555711324,0.19369725420750308,0.008534188937314856,0.19190243969146945,0.004718812604237294,1.6475717802445122,0.029846320432330712,0.006751045155955534,0.0,3.992640821139446,88.13746731311748,10.26589263570917,1.5966400511733578,1.5966400511733578,49.400001525879,2.7000000476837,15.0,9.0,9.6000003814697,8.0,0.60000002384186,0.60000002384186,3.5999999046326,0.11647592049858346,0.5259311633338785,0.22146609408015,"Kelemen, P.B., Joyce, D.B., Webster, J.D., Holloway, J.R. (1990) Reaction between ultramafic rock and fractionating basaltic magma II. Experimental investigation of reaction between olivine tholeiite and hartzburgite at 1150-1050_C and 5kb. Journal of Petrology 31 99-134",Orthopyroxene 1,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,EMP,wt%,Not Specified,EMP,wt%,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/petrology/31.1.99,EMP,False,False,89.5675385057504,0.09431031768958831,0.09938693651791478,0.09431031768958831,65.53375565220021
